0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:28:24 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:28:27 +0530] "GET /ORS_Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 4109
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:28:28 +0530] "GET /ORS_Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 6713
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:28:35 +0530] "GET /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 11632
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:28:35 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 200 95937
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:28:35 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:28:40 +0530] "GET /ORS_Project4/ctl/SubjectListCtl HTTP/1.1" 200 10604
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:28:44 +0530] "GET /ORS_Project4/ctl/FacultyListCtl HTTP/1.1" 200 9331
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:28:47 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 9066
0:0:0:0:0:0:0:1 - - [05/Mar/2024:20:28:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
