127.0.0.1 - - [08/May/2023:17:05:29 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [08/May/2023:17:05:31 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [08/May/2023:17:05:31 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [08/May/2023:17:07:43 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [08/May/2023:17:07:43 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [08/May/2023:17:07:49 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [08/May/2023:17:07:52 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [08/May/2023:17:07:55 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [08/May/2023:17:17:25 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [08/May/2023:17:17:47 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [08/May/2023:17:17:49 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [08/May/2023:17:23:37 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [08/May/2023:17:23:40 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [08/May/2023:17:40:44 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2023:17:40:44 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [08/May/2023:17:40:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [08/May/2023:17:40:50 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5955
0:0:0:0:0:0:0:1 - - [08/May/2023:17:40:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [08/May/2023:17:40:51 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2023:17:40:51 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [08/May/2023:17:40:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [08/May/2023:17:40:55 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [08/May/2023:17:40:57 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [08/May/2023:17:41:15 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [08/May/2023:17:59:30 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [08/May/2023:18:03:25 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2023:18:03:25 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [08/May/2023:18:03:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [08/May/2023:18:18:56 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5955
0:0:0:0:0:0:0:1 - - [08/May/2023:18:18:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [08/May/2023:18:19:16 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2023:18:19:17 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
