127.0.0.1 - - [16/May/2023:18:24:53 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [16/May/2023:18:24:55 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [16/May/2023:18:24:55 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [16/May/2023:18:26:16 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [16/May/2023:18:26:16 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/May/2023:18:31:29 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [16/May/2023:18:40:44 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [16/May/2023:18:40:45 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [16/May/2023:18:45:20 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [16/May/2023:18:58:05 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [16/May/2023:18:58:09 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2023:18:58:09 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [16/May/2023:18:58:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [16/May/2023:18:58:14 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2023:18:58:14 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [16/May/2023:18:58:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [16/May/2023:19:05:20 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [16/May/2023:19:05:32 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2023:19:05:32 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [16/May/2023:19:05:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [16/May/2023:19:16:45 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [16/May/2023:19:17:00 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 3123
0:0:0:0:0:0:0:1 - - [16/May/2023:19:21:04 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2023:19:21:04 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 12032
0:0:0:0:0:0:0:1 - - [16/May/2023:19:21:04 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:19:21:04 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2023:19:27:30 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [16/May/2023:19:27:38 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 3123
0:0:0:0:0:0:0:1 - - [16/May/2023:19:27:53 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
