127.0.0.1 - - [10/Apr/2023:17:27:45 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:27:47 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:27:47 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:27:47 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:28:43 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:28:43 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:29:01 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:34:30 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:38:26 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:39:01 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:39:04 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:40:04 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:40:04 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:40:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:40:57 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5945
0:0:0:0:0:0:0:1 - - [10/Apr/2023:17:40:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:07:09 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5945
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:07:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:07:21 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5945
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:07:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:07:26 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5945
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:07:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:11:38 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:12:28 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:12:30 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:12:30 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:12:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:13:59 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:14:00 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:14:04 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:14:16 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:14:16 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:14:16 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:20:24 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 11982
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:20:24 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:20:24 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:34:17 +0530] "POST /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 7323
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:34:23 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 11982
0:0:0:0:0:0:0:1 - - [10/Apr/2023:18:48:15 +0530] "GET /ORS_Project4/ctl/CollegeCtl?id=1 HTTP/1.1" 200 5581
