127.0.0.1 - - [12/May/2023:16:54:24 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [12/May/2023:16:54:25 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [12/May/2023:16:54:25 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [12/May/2023:16:54:25 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [12/May/2023:16:54:27 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [12/May/2023:16:54:27 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/May/2023:16:54:30 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [12/May/2023:16:54:32 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2023:16:54:32 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [12/May/2023:16:54:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/May/2023:16:54:51 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [12/May/2023:16:56:05 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2023:16:56:05 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [12/May/2023:16:56:14 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 12032
0:0:0:0:0:0:0:1 - - [12/May/2023:16:56:27 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [12/May/2023:18:25:49 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [12/May/2023:18:28:42 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [12/May/2023:18:32:06 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [12/May/2023:18:32:15 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [12/May/2023:18:42:21 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [12/May/2023:18:42:31 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [12/May/2023:19:18:19 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2023:19:18:19 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [12/May/2023:19:41:21 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [12/May/2023:19:41:23 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2023:19:41:23 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [12/May/2023:19:41:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/May/2023:19:42:09 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5970
0:0:0:0:0:0:0:1 - - [12/May/2023:19:42:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/May/2023:19:44:52 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5981
0:0:0:0:0:0:0:1 - - [12/May/2023:19:44:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [12/May/2023:19:48:38 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [12/May/2023:19:48:56 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [12/May/2023:19:51:00 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [12/May/2023:19:54:02 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2023:19:54:02 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [12/May/2023:19:55:07 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9372
