127.0.0.1 - - [01/Apr/2023:13:56:42 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:56:43 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:56:43 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:57:18 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:57:18 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:57:21 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:57:38 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:57:39 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:57:47 +0530] "GET /ORS_Project4/ctl/MyProfileCtl HTTP/1.1" 200 6223
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:57:47 +0530] "GET /ORS_Project4/js/calendar.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:57:50 +0530] "GET /ORS_Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 4301
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:57:53 +0530] "GET /ORS_Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7717
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:57:58 +0530] "GET /ORS_Project4/ctl/SubjectListCtl HTTP/1.1" 200 11608
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:57:58 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 200 95937
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:57:58 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:02 +0530] "GET /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 12615
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:05 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10070
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/index.html HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/jquery/jquery-3.5.1.js HTTP/1.1" 200 298502
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/script.js HTTP/1.1" 200 5192
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 200 96949
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/stylesheet.css HTTP/1.1" 200 23177
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/jquery/jquery-ui.js HTTP/1.1" 200 74221
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/jquery/jquery-ui.css HTTP/1.1" 200 20857
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 200 97678
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/member-search-index.zip HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/package-search-index.zip HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/type-search-index.zip HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/resources/glass.png HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/resources/x.png HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/search.js HTTP/1.1" 200 12628
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/package-search-index.js HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/member-search-index.js HTTP/1.1" 200 82800
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:09 +0530] "GET /ORS_Project4/doc/type-search-index.js HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [01/Apr/2023:13:58:16 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 11982
