127.0.0.1 - - [17/May/2023:17:09:00 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [17/May/2023:17:09:01 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [17/May/2023:17:09:01 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/May/2023:17:09:12 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [17/May/2023:17:09:12 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/May/2023:17:09:28 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [17/May/2023:17:09:40 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [17/May/2023:17:12:59 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [17/May/2023:17:13:05 +0530] "GET /ORS_Project4/ctl/CollegeListCtl HTTP/1.1" 200 3123
0:0:0:0:0:0:0:1 - - [17/May/2023:17:17:06 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [17/May/2023:17:29:37 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:17:29:37 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [17/May/2023:17:29:39 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [17/May/2023:17:29:41 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:17:29:41 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [17/May/2023:17:29:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/May/2023:17:29:43 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:17:29:43 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [17/May/2023:17:29:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [17/May/2023:17:29:44 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [17/May/2023:17:32:14 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2023:17:32:14 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [17/May/2023:17:32:18 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9372
